x-axis,1,2,F1
second,Volt,Volt,Volt
-8.07000E-03,-2.11771868E+00,+2.02681167E+00,-4.12776709E+00
-8.06000E-03,-2.09636190E+00,+2.03686192E+00,-4.11702490E+00
-8.05000E-03,-2.11646240E+00,+2.01676142E+00,-4.11702490E+00
-8.04000E-03,-2.11646240E+00,+2.03686192E+00,-4.13753271E+00
-8.03000E-03,-2.07626140E+00,+2.03811820E+00,-4.09651709E+00
-8.02000E-03,-2.09636190E+00,+1.99791720E+00,-4.07796240E+00
-8.01000E-03,-2.10766843E+00,+2.01801770E+00,-4.10823584E+00
-8.00000E-03,-2.07626140E+00,+2.03686192E+00,-4.09651709E+00
-7.99000E-03,-2.05616089E+00,+2.02806795E+00,-4.06722021E+00
-7.98000E-03,-2.07626140E+00,+2.01676142E+00,-4.07698584E+00
-7.97000E-03,-2.08631165E+00,+2.01676142E+00,-4.08675146E+00
-7.96000E-03,-2.05616089E+00,+1.99791720E+00,-4.03792334E+00
-7.95000E-03,-2.08756793E+00,+2.00671117E+00,-4.07698584E+00
-7.94000E-03,-2.05741717E+00,+2.01676142E+00,-4.05647802E+00
-7.93000E-03,-2.08631165E+00,+1.98786694E+00,-4.05647802E+00
-7.92000E-03,-2.07626140E+00,+1.99666091E+00,-4.05647802E+00
-7.91000E-03,-2.05616089E+00,+1.98661066E+00,-4.02718115E+00
-7.90000E-03,-2.05741717E+00,+1.97656041E+00,-4.01741552E+00
-7.89000E-03,-2.06746743E+00,+1.96651016E+00,-4.01643896E+00
-7.88000E-03,-2.05616089E+00,+1.95771619E+00,-3.99788427E+00
-7.87000E-03,-2.04736692E+00,+1.97656041E+00,-4.00667334E+00
-7.86000E-03,-2.03606039E+00,+1.97781669E+00,-3.99788427E+00
-7.85000E-03,-2.02726642E+00,+1.97656041E+00,-3.98714209E+00
-7.84000E-03,-2.03606039E+00,+1.95771619E+00,-3.97737646E+00
-7.83000E-03,-2.03606039E+00,+1.97656041E+00,-3.99690771E+00
-7.82000E-03,-2.01595989E+00,+1.97656041E+00,-3.97639990E+00
-7.81000E-03,-2.01595989E+00,+1.96776644E+00,-3.96663427E+00
-7.80000E-03,-2.01721617E+00,+1.97656041E+00,-3.97737646E+00
-7.79000E-03,-2.00590964E+00,+1.96776644E+00,-3.95589209E+00
-7.78000E-03,-2.03606039E+00,+1.93761569E+00,-3.95589209E+00
-7.77000E-03,-2.01595989E+00,+1.94640966E+00,-3.94612646E+00
-7.76000E-03,-2.01595989E+00,+1.97656041E+00,-3.97639990E+00
-7.75000E-03,-2.00716592E+00,+1.93635941E+00,-3.92659521E+00
-7.74000E-03,-2.01595989E+00,+1.93635941E+00,-3.93636084E+00
-7.73000E-03,-2.00716592E+00,+1.94766594E+00,-3.93636084E+00
-7.72000E-03,-2.01595989E+00,+1.95645991E+00,-3.95589209E+00
-7.71000E-03,-2.00590964E+00,+1.92630916E+00,-3.91682959E+00
-7.70000E-03,-1.99585939E+00,+1.93635941E+00,-3.91585302E+00
